ts,cold_start,server_ms
2025-10-02T17:37:17.838690,False,13.63
2025-10-02T17:37:17.931383,False,13.66
2025-10-02T17:37:18.021257,False,13.16
2025-10-02T17:37:18.112765,False,12.46
2025-10-02T17:37:18.190462,False,13.86
2025-10-02T17:37:18.276595,False,10.2
2025-10-02T17:37:18.351625,False,15.41
2025-10-02T17:37:18.425420,False,14.49
2025-10-02T17:37:18.498319,False,13.71
2025-10-02T17:37:18.583878,False,12.03
2025-10-02T17:37:18.666349,False,8.63
2025-10-02T17:37:18.739306,False,9.54
2025-10-02T17:37:18.820666,False,9.71
2025-10-02T17:37:18.905355,False,9.11
2025-10-02T17:37:18.976377,False,9.79
2025-10-02T17:37:19.046930,False,9.38
2025-10-02T17:37:19.128134,False,8.85
2025-10-02T17:37:19.213397,False,8.55
2025-10-02T17:37:19.313140,False,9.63
2025-10-02T17:37:19.382671,False,9.6
2025-10-02T17:37:19.466368,False,8.62
2025-10-02T17:37:19.552590,False,13.83
2025-10-02T17:37:19.622279,False,9.28
2025-10-02T17:37:19.692645,False,8.73
2025-10-02T17:37:19.773290,False,8.74
2025-10-02T17:37:19.842595,False,8.71
2025-10-02T17:37:19.924299,False,9.33
2025-10-02T17:37:20.008302,False,9.64
2025-10-02T17:37:20.088706,False,8.93
2025-10-02T17:37:20.157099,False,8.83
2025-10-02T17:37:20.243378,False,9.77
2025-10-02T17:37:20.317888,False,9.75
2025-10-02T17:37:20.401410,False,9.08
2025-10-02T17:37:20.489920,False,8.71
2025-10-02T17:37:20.564281,False,9.22
2025-10-02T17:37:20.633335,False,9.99
2025-10-02T17:37:20.700823,False,8.26
2025-10-02T17:37:20.783028,False,8.6
2025-10-02T17:37:20.861821,False,8.62
2025-10-02T17:37:20.928733,False,8.85
2025-10-02T17:37:21.013111,False,8.69
2025-10-02T17:37:21.094359,False,9.57
2025-10-02T17:37:21.175999,False,8.66
2025-10-02T17:37:21.257804,False,9.02
2025-10-02T17:37:21.326877,False,9.5
2025-10-02T17:37:21.393829,False,8.8
2025-10-02T17:37:21.474221,False,8.63
2025-10-02T17:37:21.554823,False,8.99
2025-10-02T17:37:21.638768,False,9.22
2025-10-02T17:37:21.719704,False,9.76
2025-10-02T17:37:21.800420,False,8.82
2025-10-02T17:37:21.885394,False,9.03
2025-10-02T17:37:21.973292,False,9.78
2025-10-02T17:37:22.041655,False,9.69
2025-10-02T17:37:22.124274,False,11.04
2025-10-02T17:37:22.205002,False,8.64
2025-10-02T17:37:22.285444,False,9.07
2025-10-02T17:37:22.354779,False,8.7
2025-10-02T17:37:22.421609,False,8.93
2025-10-02T17:37:22.491208,False,9.06
2025-10-02T17:37:22.560264,False,8.9
2025-10-02T17:37:22.630797,False,10.5
2025-10-02T17:37:22.711932,False,8.64
2025-10-02T17:37:22.784022,False,9.42
2025-10-02T17:37:22.852644,False,8.84
2025-10-02T17:37:22.934423,False,9.37
2025-10-02T17:37:23.015723,False,8.64
2025-10-02T17:37:23.084865,False,8.82
2025-10-02T17:37:23.169244,False,10.05
2025-10-02T17:37:23.252372,False,11.03
2025-10-02T17:37:23.325481,False,9.36
2025-10-02T17:37:23.408058,False,9.25
2025-10-02T17:37:23.495034,False,9.26
2025-10-02T17:37:23.566894,False,9.54
2025-10-02T17:37:23.647216,False,8.83
2025-10-02T17:37:23.714147,False,9.15
2025-10-02T17:37:23.783868,False,11.49
2025-10-02T17:37:23.852727,False,9.25
2025-10-02T17:37:23.933342,False,8.69
2025-10-02T17:37:24.013826,False,9.48
2025-10-02T17:37:24.083528,False,9.05
2025-10-02T17:37:24.154927,False,9.32
2025-10-02T17:37:24.241335,False,8.83
2025-10-02T17:37:24.316997,False,9.75
2025-10-02T17:37:24.403099,False,10.73
2025-10-02T17:37:24.475994,False,9.33
2025-10-02T17:37:24.572668,False,10.08
2025-10-02T17:37:24.642946,False,9.99
2025-10-02T17:37:24.732535,False,9.06
2025-10-02T17:37:24.803597,False,9.14
2025-10-02T17:37:24.872536,False,8.6
2025-10-02T17:37:24.958555,False,10.24
2025-10-02T17:37:25.046030,False,8.89
2025-10-02T17:37:25.126759,False,8.58
2025-10-02T17:37:25.194733,False,9.28
2025-10-02T17:37:25.263855,False,8.92
2025-10-02T17:37:25.332054,False,8.78
2025-10-02T17:37:25.401477,False,9.19
2025-10-02T17:37:25.482193,False,8.54
2025-10-02T17:37:25.564378,False,9.31
2025-10-02T17:37:25.645507,False,8.47
2025-10-02T17:37:25.730408,False,8.96
2025-10-02T17:37:25.800549,False,9.13
2025-10-02T17:37:25.869753,False,9.47
2025-10-02T17:37:25.953269,False,9.28
2025-10-02T17:37:26.033766,False,9.56
2025-10-02T17:37:26.103547,False,9.65
2025-10-02T17:37:26.172492,False,9.5
2025-10-02T17:37:26.242225,False,10.16
2025-10-02T17:37:26.317900,False,8.5
2025-10-02T17:37:26.386483,False,8.67
2025-10-02T17:37:26.471800,False,9.8
2025-10-02T17:37:26.544079,False,8.58
2025-10-02T17:37:26.612376,False,8.99
2025-10-02T17:37:26.681646,False,10.19
2025-10-02T17:37:26.765823,False,8.98
2025-10-02T17:37:26.835554,False,8.98
2025-10-02T17:37:26.921833,False,9.81
2025-10-02T17:37:27.006844,False,9.16
2025-10-02T17:37:27.076235,False,8.79
2025-10-02T17:37:27.158877,False,9.39
2025-10-02T17:37:27.226578,False,8.81
2025-10-02T17:37:27.310894,False,10.14
2025-10-02T17:37:27.378000,False,9.14
2025-10-02T17:37:27.458629,False,8.73
2025-10-02T17:37:27.527531,False,9.21
2025-10-02T17:37:27.605152,False,9.05
2025-10-02T17:37:27.700240,False,10.13
2025-10-02T17:37:27.770074,False,9.85
2025-10-02T17:37:27.850978,False,9.66
2025-10-02T17:37:27.919227,False,8.94
2025-10-02T17:37:28.004289,False,8.74
2025-10-02T17:37:28.073931,False,8.9
2025-10-02T17:37:28.145903,False,9.66
2025-10-02T17:37:28.228935,False,9.18
2025-10-02T17:37:28.315462,False,9.55
2025-10-02T17:37:28.385297,False,9.14
2025-10-02T17:37:28.467255,False,8.67
2025-10-02T17:37:28.554388,False,8.39
2025-10-02T17:37:28.639997,False,9.09
2025-10-02T17:37:28.729160,False,9.93
2025-10-02T17:37:28.815264,False,8.74
2025-10-02T17:37:28.901556,False,8.88
2025-10-02T17:37:28.972981,False,8.5
2025-10-02T17:37:29.056342,False,8.99
2025-10-02T17:37:29.129421,False,9.36
2025-10-02T17:37:29.200685,False,8.34
2025-10-02T17:37:29.272407,False,9.12
2025-10-02T17:37:29.357857,False,12.23
2025-10-02T17:37:29.447389,False,10.93
2025-10-02T17:37:29.521113,False,9.57
2025-10-02T17:37:29.590743,False,9.45
2025-10-02T17:37:29.675317,False,8.71
2025-10-02T17:37:29.783960,False,16.72
2025-10-02T17:37:29.858418,False,8.89
2025-10-02T17:37:29.943632,False,9.61
2025-10-02T17:37:30.031657,False,12.01
2025-10-02T17:37:30.117281,False,8.99
2025-10-02T17:37:30.202440,False,8.7
2025-10-02T17:37:30.289410,False,9.71
2025-10-02T17:37:30.374376,False,8.99
2025-10-02T17:37:30.458634,False,9.2
2025-10-02T17:37:30.530450,False,8.68
2025-10-02T17:37:30.618038,False,9.45
2025-10-02T17:37:30.704374,False,9.13
2025-10-02T17:37:30.776610,False,9.74
2025-10-02T17:37:30.846628,False,9.32
2025-10-02T17:37:30.916586,False,8.74
2025-10-02T17:37:31.000950,False,9.06
2025-10-02T17:37:31.086835,False,9.4
2025-10-02T17:37:31.173647,False,8.64
2025-10-02T17:37:31.246491,False,9.47
2025-10-02T17:37:31.331718,False,8.74
2025-10-02T17:37:31.402664,False,9.11
2025-10-02T17:37:31.486740,False,9.53
2025-10-02T17:37:31.576452,False,8.95
2025-10-02T17:37:31.647327,False,9.03
2025-10-02T17:37:31.732167,False,8.77
2025-10-02T17:37:31.818420,False,8.56
2025-10-02T17:37:31.904932,False,9.3
2025-10-02T17:37:31.975266,False,8.61
2025-10-02T17:37:32.058784,False,9.4
2025-10-02T17:37:32.131467,False,8.58
2025-10-02T17:37:32.201493,False,9.51
2025-10-02T17:37:32.286622,False,8.56
2025-10-02T17:37:32.373734,False,8.83
2025-10-02T17:37:32.459714,False,8.84
2025-10-02T17:37:32.544845,False,9.01
2025-10-02T17:37:32.629037,False,8.98
2025-10-02T17:37:32.710066,False,9.89
2025-10-02T17:37:32.792607,False,8.51
2025-10-02T17:37:32.866503,False,8.54
2025-10-02T17:37:32.950792,False,9.72
2025-10-02T17:37:33.021538,False,8.89
2025-10-02T17:37:33.094147,False,8.77
2025-10-02T17:37:33.166669,False,9.47
2025-10-02T17:37:33.256697,False,9.2
2025-10-02T17:37:33.331174,False,9.25
2025-10-02T17:37:33.416621,False,9.48
2025-10-02T17:37:33.488882,False,8.96
2025-10-02T17:37:33.575499,False,9.09
2025-10-02T17:37:33.661113,False,9.56
2025-10-02T17:37:33.750337,False,9.01
2025-10-02T17:37:33.834576,False,8.64
2025-10-02T17:37:33.907407,False,9.11
2025-10-02T17:37:33.978520,False,8.61
2025-10-02T17:37:34.062227,False,8.59
2025-10-02T17:37:34.131555,False,8.65
2025-10-02T17:37:34.218245,False,8.98
2025-10-02T17:37:34.292538,False,9.49
2025-10-02T17:37:34.377799,False,9.29
2025-10-02T17:37:34.453133,False,11.42
2025-10-02T17:37:34.539899,False,9.22
2025-10-02T17:37:34.610222,False,9.12
2025-10-02T17:37:34.695371,False,8.85
2025-10-02T17:37:34.783691,False,9.36
2025-10-02T17:37:34.855753,False,9.08
2025-10-02T17:37:34.925056,False,8.61
2025-10-02T17:37:35.009098,False,8.93
2025-10-02T17:37:35.095241,False,8.81
2025-10-02T17:37:35.184902,False,10.07
2025-10-02T17:37:35.271698,False,8.97
2025-10-02T17:37:35.344462,False,9.27
2025-10-02T17:37:35.432404,False,9.15
2025-10-02T17:37:35.504081,False,8.76
2025-10-02T17:37:35.602456,False,8.87
2025-10-02T17:37:35.687971,False,8.97
2025-10-02T17:37:35.761496,False,9.17
2025-10-02T17:37:35.830665,False,8.76
2025-10-02T17:37:35.915786,False,9.38
2025-10-02T17:37:35.988528,False,10.05
2025-10-02T17:37:36.074934,False,9.18
2025-10-02T17:37:36.147713,False,8.73
2025-10-02T17:37:36.223254,False,8.87
2025-10-02T17:37:36.304495,False,18.3
2025-10-02T17:37:36.378590,False,9.25
2025-10-02T17:37:36.465269,False,10.79
2025-10-02T17:37:36.551226,False,9.42
2025-10-02T17:37:36.622269,False,8.39
2025-10-02T17:37:36.693092,False,8.65
2025-10-02T17:37:36.763578,False,8.72
2025-10-02T17:37:36.849293,False,9.03
2025-10-02T17:37:36.932697,False,8.65
2025-10-02T17:37:37.005898,False,8.74
2025-10-02T17:37:37.079263,False,9.75
2025-10-02T17:37:37.163873,False,8.96
2025-10-02T17:37:37.248871,False,8.7
2025-10-02T17:37:37.335616,False,8.25
2025-10-02T17:37:37.407165,False,9.43
2025-10-02T17:37:37.476042,False,8.6
2025-10-02T17:37:37.548643,False,9.31
2025-10-02T17:37:37.633190,False,9.23
2025-10-02T17:37:37.711141,False,10.05
2025-10-02T17:37:37.797124,False,8.9
2025-10-02T17:37:37.881943,False,8.27
2025-10-02T17:37:37.951641,False,9.47
2025-10-02T17:37:38.024708,False,9.29
2025-10-02T17:37:38.112245,False,8.65
2025-10-02T17:37:38.183893,False,8.96
2025-10-02T17:37:38.269977,False,9.42
2025-10-02T17:37:38.355796,False,9.51
2025-10-02T17:37:38.429085,False,8.92
2025-10-02T17:37:38.514815,False,9.2
2025-10-02T17:37:38.602439,False,9.86
2025-10-02T17:37:38.688175,False,8.73
2025-10-02T17:37:38.760633,False,9.38
2025-10-02T17:37:38.849391,False,9.91
2025-10-02T17:37:38.932228,False,9.4
2025-10-02T17:37:39.002963,False,8.46
2025-10-02T17:37:39.087525,False,8.6
2025-10-02T17:37:39.167191,False,10.34
2025-10-02T17:37:39.242045,False,8.97
2025-10-02T17:37:39.315625,False,8.41
2025-10-02T17:37:39.391054,False,10.77
2025-10-02T17:37:39.487033,False,15.22
2025-10-02T17:37:39.582926,False,10.49
2025-10-02T17:37:39.670178,False,8.84
2025-10-02T17:37:39.738040,False,8.54
2025-10-02T17:37:39.809987,False,9.49
2025-10-02T17:37:39.966561,False,8.13
2025-10-02T17:37:40.054691,False,8.87
2025-10-02T17:37:40.143447,False,9.57
2025-10-02T17:37:40.236159,False,10.67
2025-10-02T17:37:40.312113,False,10.31
2025-10-02T17:37:40.398319,False,9.47
2025-10-02T17:37:40.473463,False,9.22
2025-10-02T17:37:40.556057,False,8.8
2025-10-02T17:37:40.628334,False,8.81
2025-10-02T17:37:40.713624,False,10.26
2025-10-02T17:37:40.804975,False,8.31
2025-10-02T17:37:40.879479,False,10.3
2025-10-02T17:37:40.951561,False,8.94
2025-10-02T17:37:41.023727,False,9.03
2025-10-02T17:37:41.108793,False,11.0
2025-10-02T17:37:41.198839,False,9.75
2025-10-02T17:37:41.285537,False,9.72
2025-10-02T17:37:41.372527,False,9.32
2025-10-02T17:37:41.457419,False,9.82
2025-10-02T17:37:41.543786,False,9.0
2025-10-02T17:37:41.627887,False,8.51
2025-10-02T17:37:41.714253,False,9.83
2025-10-02T17:37:41.804079,False,8.73
2025-10-02T17:37:41.888158,False,10.52
2025-10-02T17:37:41.960016,False,10.54
2025-10-02T17:37:42.031452,False,10.21
2025-10-02T17:37:42.114286,False,8.92
2025-10-02T17:37:42.184500,False,9.18
2025-10-02T17:37:42.265673,False,9.17
2025-10-02T17:37:42.350889,False,9.43
2025-10-02T17:37:42.433832,False,8.8
2025-10-02T17:37:42.500181,False,9.37
2025-10-02T17:37:42.566637,False,8.8
2025-10-02T17:37:42.645187,False,8.84
2025-10-02T17:37:42.713903,False,9.6
2025-10-02T17:37:42.781219,False,9.02
2025-10-02T17:37:42.849491,False,8.64
2025-10-02T17:37:42.918344,False,9.19
2025-10-02T17:37:43.001769,False,9.29
2025-10-02T17:37:43.084453,False,8.51
2025-10-02T17:37:43.168075,False,10.4
2025-10-02T17:37:43.236360,False,8.41
2025-10-02T17:37:43.309604,False,9.74
2025-10-02T17:37:43.395679,False,9.5
2025-10-02T17:37:43.467155,False,8.56
2025-10-02T17:37:43.539374,False,9.32
2025-10-02T17:37:43.608421,False,8.86
2025-10-02T17:37:43.691376,False,8.81
2025-10-02T17:37:43.774945,False,8.6
2025-10-02T17:37:43.847503,False,9.75
2025-10-02T17:37:43.933481,False,9.17
2025-10-02T17:37:44.016432,False,8.65
2025-10-02T17:37:44.086493,False,8.78
2025-10-02T17:37:44.170556,False,9.99
2025-10-02T17:37:44.241075,False,9.31
2025-10-02T17:37:44.323010,False,8.88
2025-10-02T17:37:44.396156,False,8.87
2025-10-02T17:37:44.480662,False,9.21
2025-10-02T17:37:44.555365,False,8.66
2025-10-02T17:37:44.625810,False,9.56
2025-10-02T17:37:44.696299,False,8.77
2025-10-02T17:37:44.766293,False,12.09
2025-10-02T17:37:44.850673,False,10.18
2025-10-02T17:37:44.938578,False,9.03
2025-10-02T17:37:45.007901,False,9.08
2025-10-02T17:37:45.076102,False,8.51
2025-10-02T17:37:45.154026,False,9.09
2025-10-02T17:37:45.236722,False,10.16
2025-10-02T17:37:45.322840,False,9.26
2025-10-02T17:37:45.396625,False,9.87
2025-10-02T17:37:45.481194,False,9.32
2025-10-02T17:37:45.572230,False,9.1
2025-10-02T17:37:45.640671,False,9.13
2025-10-02T17:37:45.723904,False,8.84
2025-10-02T17:37:45.795481,False,8.84
2025-10-02T17:37:45.867032,False,9.37
2025-10-02T17:37:45.942799,False,9.35
2025-10-02T17:37:46.014463,False,8.62
2025-10-02T17:37:46.087182,False,9.2
2025-10-02T17:37:46.160681,False,9.51
2025-10-02T17:37:46.232189,False,9.72
2025-10-02T17:37:46.317041,False,9.22
2025-10-02T17:37:46.393642,False,9.13
2025-10-02T17:37:46.468655,False,9.64
2025-10-02T17:37:46.540067,False,8.89
2025-10-02T17:37:46.630961,False,9.54
2025-10-02T17:37:46.699812,False,8.12
2025-10-02T17:37:46.773594,False,10.51
2025-10-02T17:37:46.856917,False,9.03
2025-10-02T17:37:46.925424,False,9.58
2025-10-02T17:37:46.996785,False,9.53
2025-10-02T17:37:47.080831,False,9.67
2025-10-02T17:37:47.170522,False,10.36
2025-10-02T17:37:47.239985,False,8.77
2025-10-02T17:37:47.322735,False,9.85
2025-10-02T17:37:47.395471,False,9.78
2025-10-02T17:37:47.465755,False,9.07
2025-10-02T17:37:47.538675,False,8.86
2025-10-02T17:37:47.625697,False,8.95
2025-10-02T17:37:47.698605,False,9.92
2025-10-02T17:37:47.767505,False,9.58
2025-10-02T17:37:47.851042,False,8.82
2025-10-02T17:37:47.930426,False,8.67
2025-10-02T17:37:47.997527,False,8.87
2025-10-02T17:37:48.064684,False,8.64
2025-10-02T17:37:48.152824,False,9.47
2025-10-02T17:37:48.222131,False,8.7
2025-10-02T17:37:48.299982,False,12.52
2025-10-02T17:37:48.367231,False,9.39
2025-10-02T17:37:48.436936,False,9.61
2025-10-02T17:37:48.507691,False,10.26
2025-10-02T17:37:48.590366,False,9.75
2025-10-02T17:37:48.670977,False,8.48
2025-10-02T17:37:48.745491,False,9.27
2025-10-02T17:37:48.817947,False,8.41
2025-10-02T17:37:48.900944,False,8.98
2025-10-02T17:37:48.984668,False,8.98
2025-10-02T17:37:49.060080,False,8.71
2025-10-02T17:37:49.143749,False,9.81
2025-10-02T17:37:49.230483,False,9.57
2025-10-02T17:37:49.313582,False,8.46
2025-10-02T17:37:49.397201,False,9.2
2025-10-02T17:37:49.482637,False,9.1
2025-10-02T17:37:49.553937,False,9.76
2025-10-02T17:37:49.623932,False,8.65
2025-10-02T17:37:49.708244,False,8.81
2025-10-02T17:37:49.778098,False,8.71
2025-10-02T17:37:49.843133,False,8.82
2025-10-02T17:37:49.907186,False,8.5
2025-10-02T17:37:49.974412,False,8.89
2025-10-02T17:37:50.054825,False,9.59
2025-10-02T17:37:50.132918,False,8.81
2025-10-02T17:37:50.214734,False,9.26
2025-10-02T17:37:50.283191,False,8.75
2025-10-02T17:37:50.375424,False,8.96
2025-10-02T17:37:50.458379,False,8.99
2025-10-02T17:37:50.541657,False,8.66
2025-10-02T17:37:50.622005,False,8.72
2025-10-02T17:37:50.690245,False,9.18
2025-10-02T17:37:50.759042,False,8.83
2025-10-02T17:37:50.845329,False,8.98
2025-10-02T17:37:50.930565,False,8.81
2025-10-02T17:37:51.002224,False,9.32
2025-10-02T17:37:51.082484,False,8.66
2025-10-02T17:37:51.158544,False,9.34
2025-10-02T17:37:51.226832,False,9.11
2025-10-02T17:37:51.314568,False,9.83
2025-10-02T17:37:51.395446,False,8.92
2025-10-02T17:37:51.475595,False,8.53
2025-10-02T17:37:51.543465,False,8.81
2025-10-02T17:37:51.612137,False,9.04
2025-10-02T17:37:51.678916,False,8.62
2025-10-02T17:37:51.762281,False,9.09
2025-10-02T17:37:51.833369,False,8.58
2025-10-02T17:37:51.907073,False,9.68
2025-10-02T17:37:51.988875,False,8.29
2025-10-02T17:37:52.071257,False,8.9
2025-10-02T17:37:52.142764,False,9.57
2025-10-02T17:37:52.225477,False,9.09
2025-10-02T17:37:52.308544,False,9.6
2025-10-02T17:37:52.391579,False,9.5
2025-10-02T17:37:52.461744,False,8.74
2025-10-02T17:37:52.532026,False,8.98
2025-10-02T17:37:52.604359,False,9.06
2025-10-02T17:37:52.677795,False,9.33
2025-10-02T17:37:52.765387,False,9.02
2025-10-02T17:37:52.847255,False,8.75
2025-10-02T17:37:52.931368,False,9.06
2025-10-02T17:37:53.013834,False,8.45
2025-10-02T17:37:53.097968,False,9.32
2025-10-02T17:37:53.170905,False,11.59
2025-10-02T17:37:53.250228,False,10.95
2025-10-02T17:37:53.323388,False,8.88
2025-10-02T17:37:53.391680,False,8.01
2025-10-02T17:37:53.476583,False,8.85
2025-10-02T17:37:53.562199,False,9.0
2025-10-02T17:37:53.651098,False,11.0
2025-10-02T17:37:53.723933,False,9.69
2025-10-02T17:37:53.794943,False,9.26
2025-10-02T17:37:53.864961,False,8.37
2025-10-02T17:37:53.930692,False,9.22
2025-10-02T17:37:54.014162,False,9.01
2025-10-02T17:37:54.084788,False,9.46
2025-10-02T17:37:54.153843,False,9.21
2025-10-02T17:37:54.239391,False,9.32
2025-10-02T17:37:54.311418,False,9.62
2025-10-02T17:37:54.381504,False,9.34
2025-10-02T17:37:54.464369,False,9.05
2025-10-02T17:37:54.534184,False,8.94
2025-10-02T17:37:54.604555,False,9.48
2025-10-02T17:37:54.687590,False,9.12
2025-10-02T17:37:54.776992,False,8.61
2025-10-02T17:37:54.848227,False,10.07
2025-10-02T17:37:54.931346,False,9.08
2025-10-02T17:37:54.999386,False,9.53
2025-10-02T17:37:55.080887,False,8.9
2025-10-02T17:37:55.155036,False,9.07
2025-10-02T17:37:55.238888,False,9.03
2025-10-02T17:37:55.313359,False,9.61
2025-10-02T17:37:55.387477,False,9.6
2025-10-02T17:37:55.458957,False,11.45
2025-10-02T17:37:55.548207,False,10.95
2025-10-02T17:37:55.636371,False,9.81
2025-10-02T17:37:55.723085,False,9.24
2025-10-02T17:37:55.794713,False,9.09
2025-10-02T17:37:55.870564,False,8.96
2025-10-02T17:37:55.959150,False,8.71
2025-10-02T17:37:56.031188,False,8.92
2025-10-02T17:37:56.103662,False,8.99
2025-10-02T17:37:56.172431,False,8.35
2025-10-02T17:37:56.250434,False,9.84
2025-10-02T17:37:56.319895,False,8.21
2025-10-02T17:37:56.406986,False,8.97
2025-10-02T17:37:56.493297,False,8.43
2025-10-02T17:37:56.561939,False,8.72
2025-10-02T17:37:56.634817,False,9.34
2025-10-02T17:37:56.720605,False,9.01
2025-10-02T17:37:56.804861,False,8.74
2025-10-02T17:37:56.890085,False,9.03
2025-10-02T17:37:56.963835,False,9.71
2025-10-02T17:37:57.037736,False,9.73
